dates;log Q simule;P simule
2014-10-01;12,47005073;5,289040347
2014-10-02;12,47005073;5,159035007
2014-10-03;12,47005073;4,945283807
2014-10-04;12,47005073;4,514238502
2014-10-05;12,47005073;4,431095914
2014-10-06;12,47005073;4,554793007
2014-10-07;12,47005073;4,636836436
2014-10-08;12,47005073;4,893880266
2014-10-09;12,47005073;5,04766175
2014-10-10;12,47005073;4,975052869
2014-10-11;12,47005073;4,979878102
2014-10-12;12,47888716;5,169969663
2014-10-13;12,5132448;5,159278894
2014-10-14;12,54220042;5,148610233
2014-10-15;12,54220042;5,056476568
2014-10-16;12,54220042;4,904491996
2014-10-17;12,54220042;4,908951794
2014-10-18;12,54220042;5,015289854
2014-10-19;12,54220042;4,987921456
2014-10-20;12,54220042;4,897768702
2014-10-21;12,54220042;4,934703896
2014-10-22;12,54220042;4,891317918
2014-10-23;12,54220042;4,592449587
2014-10-24;12,54220042;4,582230783
2014-10-25;12,54220042;4,464314485
2014-10-26;12,54220042;4,537610565
2014-10-27;12,54220042;4,503463166
2014-10-28;12,54220042;4,543488666
2014-10-29;12,54220042;4,303570945
2014-10-30;12,54220042;4,436008472
2014-10-31;12,54220042;4,343643389
2014-11-01;12,54220042;4,198223673
2014-11-02;12,54220042;4,177427756
2014-11-03;12,54220042;4,186481713
2014-11-04;12,54220042;4,236336001
2014-11-05;12,54220042;4,352977141
2014-11-06;12,54220042;4,495624654
2014-11-07;12,54220042;4,402516564
2014-11-08;12,54220042;4,437293967
2014-11-09;12,54220042;4,691436531
2014-11-10;12,54220042;4,715361105
2014-11-11;12,54220042;4,739685318
2014-11-12;12,67144532;4,848633053
2014-11-13;12,67144532;4,733469817
2014-11-14;12,67144532;4,518494097
2014-11-15;12,67144532;4,253357069
2014-11-16;12,67144532;4,405126734
2014-11-17;12,67144532;4,379359171
2014-11-18;12,67144532;4,222970552
2014-11-19;12,67144532;4,279531006
2014-11-20;12,67144532;4,04065042
2014-11-21;12,67144532;3,958724077
2014-11-22;12,67144532;3,99022588
2014-11-23;12,67144532;4,159211567
2014-11-24;12,67144532;4,256091562
2014-11-25;12,67144532;4,262122094
2014-11-26;12,67144532;4,179772324
2014-11-27;12,67144532;4,186324379
2014-11-28;12,67144532;4,261331357
2014-11-29;12,67144532;4,252825587
2014-11-30;12,67144532;4,275586207
2014-12-01;12,67144532;4,297841831
2014-12-02;12,67144532;4,328532949
2014-12-03;12,67144532;4,257989821
2014-12-04;12,67144532;4,189213208
2014-12-05;12,67144532;4,263536114
2014-12-06;12,67144532;4,2410597
2014-12-07;12,67144532;4,244571607
2014-12-08;12,67144532;4,095244091
2014-12-09;12,67144532;3,984206057
2014-12-10;12,67144532;3,908560399
2014-12-11;12,67144532;3,936062228
2014-12-12;12,67144532;3,979429222
2014-12-13;12,67144532;3,93835699
2014-12-14;12,67144532;3,982300928
2014-12-15;12,67144532;3,916009228
2014-12-16;12,67144532;3,700925853
2014-12-17;12,67144532;3,624460701
2014-12-18;12,67144532;3,527076015
2014-12-19;12,67144532;3,598415881
2014-12-20;12,67144532;3,738416481
2014-12-21;12,67144532;3,620527426
2014-12-22;12,67144532;3,750078352
2014-12-23;12,67144532;3,789722247
2014-12-24;12,67144532;3,648564915
2014-12-25;12,67144532;3,609511377
2014-12-26;12,67144532;3,716394333
2014-12-27;12,67144532;3,578182516
2014-12-28;12,67144532;3,59090929
2014-12-29;12,67144532;3,543713855
2014-12-30;12,67144532;3,514761178
2014-12-31;12,67144532;3,624094127
